Title,anger,disgust,fear,joy,neutral,sadness,surprise,URL
Lying From You - Linkin Park (Meteora),0.5786015540361404,0.9364452064037323,0.0,0.0,0.741492509841919,0.8723236322402954,0.822062611579895,https://www.youtube.com/watch?v=NjdgcHdzvac&pp=ygUObHlpbmcgZnJvbSB5b3U%3D
Hit The Floor - Linkin Park (Meteora),0.44291266798973083,0.0,0.0,0.0,0.6265751222769419,0.0,0.36736389994621277,https://www.youtube.com/watch?v=oMals9XXQY8&pp=ygUNaGl0IHRoZSBmbG9vZQ%3D%3D
Easier To Run - Linkin Park (Meteora),0.22958002984523773,0.0,0.0,0.0,0.3811366856098175,0.7342409491539001,0.0,https://www.youtube.com/watch?v=U5zdmjVeQzE&pp=ygUZZWFzaWVyIHRvIHJ1biBsaW5raW4gcGFya9IHCQnDCgGHKiGM7w%3D%3D
Faint (Official Music Video) [4K UPGRADE] – Linkin Park,0.562547892332077,0.0,0.9643712043762207,0.0,0.6408616304397583,0.6880674660205841,0.0,https://www.youtube.com/watch?v=LYU-8IFcDPw&pp=ygUFZmFpbnQ%3D
Linkin Park - Figure.09 (Official Audio),0.0,0.0,0.2659115493297577,0.0,0.6226126104593277,0.5626773734887441,0.8671430945396423,https://www.youtube.com/watch?v=LpC0SKU6O00&pp=ygUJZmlndXJlIDA5
Breaking the Habit (Official Music Video) [HD UPGRADE] – Linkin Park,0.4007517695426941,0.0,0.7595438063144684,0.0,0.33726632595062256,0.0,0.2743131220340729,https://www.youtube.com/watch?v=v2H4l9RpkwM&pp=ygUSYnJlYWtpbmcgdGhlIGhhYml0
From The Inside (Official Music Video) [4K UPGRADE] – Linkin Park,0.5266759991645813,0.0,0.0,0.0,0.0,0.6704984307289124,0.0,https://www.youtube.com/watch?v=YLHpvjrFpe0&pp=ygUPZnJvbSB0aGUgaW5zaWRl
Nobody's Listening - Linkin Park (Meteora),0.8740323583285013,0.0,0.8001691401004791,0.0,0.9433014392852783,0.0,0.0,https://www.youtube.com/watch?v=QJ87793QXes&pp=ygUSbm9ib2R5J3MgbGlzdGVuaW5n
Numb (Official Music Video) [4K UPGRADE] – Linkin Park,0.0,0.0,0.9767207503318787,0.0,0.0,0.8973030209541321,0.0,https://www.youtube.com/watch?v=kXYiU_JCYtU&pp=ygUQbnVtYiBsaW5raW4gcGFyaw%3D%3D
Billie Eilish - bad guy,0.0,0.0,0.8981680274009705,0.9392468333244324,0.5043210983276367,0.769798219203949,0.0,https://www.youtube.com/watch?v=DyDfgMOUjCI&pp=ygUVYmFkIGd1eSBiaWxsaWUgZWlsaXNo
Billie Eilish - xanny,0.0,0.6534250378608704,0.6718101799488068,0.0,0.0,0.32185500860214233,0.9681431651115417,https://www.youtube.com/watch?v=LZyybvVx-js&pp=ygUFeGFubnk%3D
Billie Eilish - you should see me in a crown (Vertical Video),0.0,0.40866661071777344,0.0,0.0,0.5564045111338297,0.0,0.0,https://www.youtube.com/watch?v=Ah0Ys50CqO8&pp=ygUqeW91IHNob3VsZCBzZWUgbWUgaW4gYSBjcm93biBiaWxsaWUgZWlsaXNo
Billie Eilish - all the good girls go to hell,0.32828235626220703,0.0,0.9355750977993011,0.0,0.0,0.0,0.8761968612670898,https://www.youtube.com/watch?v=-PZsSWwc9xA&pp=ygUdYWxsIHRoZSBnb29kIGdpcmxzIGdvIHRvIGhlbGw%3D
wish you were gay,0.0,0.0,0.0,0.0,0.4161393940448761,0.7311808094382286,0.0,https://www.youtube.com/watch?v=yaJx0Gj_LCY&pp=ygUfd2lzaCB5b3Ugd2VyZSBnYXkgYmlsbGllIGVpbGlzaA%3D%3D
Billie Eilish - when the party's over,0.0,0.0,0.0,0.419308140873909,0.0,0.5188329219818115,0.0,https://www.youtube.com/watch?v=pbMwTqkKSps&pp=ygUjd2hlbiB0aGUgcGFydHkncyBvdmVyIGJpbGxpZSBlaWxpc2g%3D
8,0.0,0.0,0.0,0.0,0.32055671513080597,0.946176290512085,0.0,https://www.youtube.com/watch?v=OZYd9JxithE&pp=ygUPOCBiaWxsaWUgZWlsaXNo
my strange addiction,0.0,0.6923003196716309,0.0,0.0,0.3124062716960907,0.0,0.48847169677416485,https://www.youtube.com/watch?v=k1ATPhkVWi0&pp=ygUibXkgc3RyYW5nZSBhZGRpY3Rpb24gYmlsbGllIGVpbGlzaA%3D%3D
Billie Eilish - bury a friend,0.33343449234962463,0.4732481837272644,0.0,0.0,0.0,0.49994057416915894,0.5782754123210907,https://www.youtube.com/watch?v=HUHC9tYz8ik&pp=ygUNYnVyeSBhIGZyaWVuZNIHCQnDCgGHKiGM7w%3D%3D
Billie Eilish - ilomilo (Official Audio),0.0,0.0,0.0,0.0,0.40924742817878723,0.7798632780710856,0.0,https://www.youtube.com/watch?v=-e7wiyNO2us&pp=ygUHaWxvbWlsbw%3D%3D
listen before i go,0.0,0.0,0.0,0.0,0.45153942704200745,0.8254962960879008,0.0,https://www.youtube.com/watch?v=P4z1O3miesI&pp=ygUgbGlzdGVuIGJlZm9yZSBpIGdvIGJpbGxpZSBlaWxpc2jSBwkJwwoBhyohjO8%3D
i love you,0.6296275854110718,0.0,0.0,0.0,0.0,0.799656867980957,0.0,https://www.youtube.com/watch?v=WiinVuzh4DA&pp=ygUYaSBsb3ZlIHlvdSBiaWxsaWUgZWlsaXNo
goodbye,0.0,0.0,0.0,0.0,0.437671959400177,0.0,0.0,https://www.youtube.com/watch?v=vciZvVJyNYU&pp=ygUVZ29vZGJ5ZSBiaWxsaWUgZWlsaXNo0gcJCcMKAYcqIYzv
Public Service Announcement 2000,0.6547854542732239,0.7000847458839417,0.0,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=0NmsogZClfM&pp=ygUbcHVibGljIHNlcnZpY2UgYW5ub3VuY2VtZW50
Kill You,0.6734789704021654,0.7170792818069458,0.0,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=D1I1x2pYMK0&pp=ygUPa2lsbCB5b3UgZW1pbmVt
Eminem - Stan (Long Version) ft. Dido,0.5898575782775879,0.0,0.46237117052078247,0.54426109790802,0.5745058357715607,0.5272237062454224,0.5473878756165504,https://www.youtube.com/watch?v=gOMhN-hfMtY&pp=ygULc3RhbiBlbWluZW0%3D
Paul (Skit),0.7366230487823486,0.0,0.0,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=k_XCqo4yeMo&pp=ygULZW1pbmVtIHBhdWw%3D
Who Knew,0.5959538679856521,0.0,0.0,0.0,0.0,0.0,0.8241936415433884,https://www.youtube.com/watch?v=eskNJWOtBCo&pp=ygUPZW1pbmVtIHdobyBrbmV3
Steve Berman,0.8055542707443237,0.0,0.0,0.0,0.0,0.0,0.3231336772441864,https://www.youtube.com/watch?v=pRoQwMTWv6M&pp=ygUTZW1pbmVtIHN0ZXZlIGJlcm1hbg%3D%3D
Eminem - The Way I Am (Clean Version),0.6028323471546173,0.5598978400230408,0.500057578086853,0.0,0.5374004372528621,0.9583286643028259,0.0,https://www.youtube.com/watch?v=mQvteoFiMlg&pp=ygUZZW1pbmVtIHRoZSB3YXkgaSBhbSBjbGVhbg%3D%3D
Eminem - The Real Slim Shady (Official Video - Clean Version),0.5356982151667277,0.7697157263755798,0.5881341844797134,0.5333710759878159,0.5068906758512769,0.0,0.5631636679172516,https://www.youtube.com/watch?v=eJO5HU_7_1w&pp=ygUaZW1pbmVtIHRoZSByZWFsIHNsaW0gc2hhZHk%3D
